Day_Time,Meal_Served,People_Served,Location,Name_of_Program
Wednesdays: 12:00 - 1:00 P.M.,Lunch,OPEN TO ALL,"St. John's Lutheran                 5515 Phinney Ave N., Seattle",Phinney Neighborhood Association
3rd Sunday: 12:00 - 1:00 P.M.,Lunch,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Anonomous Acts of Kindness
Monday - Friday: 12:30 - 1:00 P.M.,Lunch,Youth 13-21,1828 Yale Avenue (on the corner of Denny and Stewart),Youth Care's Orion Center
Mondays: 12:30  - 1:00 P.M.,Lunch,OPEN TO ALL,"Woodland Park Pres. Church 225 N. 70th, Seattle",Monday Feeding Program
Tuesday & Thursday: 12:30 P.M.,Lunch,OPEN TO ALL,"5740 MLK Jr. Way South, Seattle",PAEP/Filipino Senior Services
Tuesday & Friday; 12:30 P.M.,Lunch,OPEN TO ALL,"6721 51st Ave South, Seattle",PAEP/Laotian & H'mong Senior Srvcs.
Monday - Saturday: 12:30 P.M.,Lunch,OPEN TO WOMEN & CHILDREN ONLY,"210 Dexter Avenue, Seattle",Mary's Place / Church of Mary Magdalene
"Tuesday - Saturday: 12:30 - 2:30 P.M. (Must be sober 24 hours, must become member after 1st meal)",Lunch,OPEN TO ALL,"2022 Boren Avenue, Seattle",Recovery Café
Monday - Friday: Lunch 1:00 - 2:00 P.M.,Lunch,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Operation Sack Lunch
"1st, 2nd, and 4th Sunday: 1:00 - 2:00 P.M.  ",Lunch,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, ",Anonomous Acts of Kindness
Monday - Thursday: 1:15  - 3:45 P.M.,Lunch,Drop-In Youth 12 - 22,"4516 15th Ave NE, Seattle",U-District Youth Center
Last Sunday of every month: 2:00 P.M.,Lunch,OPEN TO ALL,111 NE 80th St.  Seattle,Saint Andrew's Episcopal Church Jubilee Dinners
4th Saturday: 2:00 - 3:30 P.M.,Lunch,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Restoration Life Church
 3rd Sunday: 2:00 - 3:30 P.M.,Lunch,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Curry Temple
2nd Saturday: 1:00 - 2: 00 P.M.,Snack,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Seeds of Abraham Pentecostal Church
Daily: 3:00 - 3:30 P.M. ,Snack,WOMEN 18 AND OLDER,"2030 3rd Ave, Seattle",YWCA Angeline's Meals Program
2nd Saturday: 3:00 - 4:30 P.M.,Dinner,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Neighborhood Cooking Foundation
"1st, 3rd and 5th Saturday: 4:00 - 5:30 P.M.",Dinner,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Mount Zion Baptist Church / Street Feeding Ministry
Monday - Friday: 4:30 - 5:00 P.M.,Dinner,"Women, Children, Families, Men 55+","803 Terry Ave., Seattle",Cathedral Kitchen
Mondays: 4:30 - 5:15 P.M.,Dinner,OPEN TO ALL,"100 N street SE, Auburn",Auburn Community Supper
Tuesdays: 5:00 - 6:00 P.M.,Dinner,OPEN TO ALL,"St. John's Lutheran                 5515 Phinney Ave N., Seattle",Phinney Neighborhood Association
"Tuesday - Saturday: 5:15 - 6:00 P.M. (Must be sober 24 hours, must attend at least 1 recovery focused meeting per week)",Dinner,OPEN TO ALL,"2022 Boren Avenue, Seattle",Recovery Café
Monday & Fridays: 5:30 P.M.,Dinner,OPEN TO ALL,"8201 10th Ave South, Seattle",South Park Senior Meals
Daily: 5:30 - 6:30 P.M. (No chapel requirement unless staying as a overnight guest),Dinner,OPEN TO ALL,"318 2nd Ave. S. Extension,  Seattle",Union Gospel Mission
